,gender,name,original_name
9088,1,Janet Gaynor,Janet Gaynor
1231648,2,Charles Farrell,Charles Farrell
1104843,2,Albert Gran,Albert Gran
76381,2,David Butler,David Butler
148441,1,Marie Mosquini,Marie Mosquini
98040,1,Gladys Brockwell,Gladys Brockwell
13346,2,Émile Chautard,Émile Chautard
85899,2,Ben Bard,Ben Bard
3163,2,George E. Stone,George E. Stone
1554473,0,Jessie Haslett,Jessie Haslett
29580,2,Brandon Hurst,Brandon Hurst
85738,1,Lillian West,Lillian West
1554493,0,Mary Borzage,Mary Borzage
1554495,0,Lewis Borzage Sr.,Lewis Borzage Sr.
1554492,0,Sue Borzage,Sue Borzage
1554494,0,Dolly Borzage,Dolly Borzage
9087,2,George O’Brien,George O’Brien
9089,1,Margaret Livingston,Margaret Livingston
9090,1,Bodil Rosing,Bodil Rosing
9091,2,J. Farrell MacDonald,J. Farrell MacDonald
9092,0,Ralph Sipperly,Ralph Sipperly
9093,1,Jane Winton,Jane Winton
9094,2,Arthur Housman,Arthur Housman
9095,2,Eddie Boland,Eddie Boland
9084,2,Herman Bing,Herman Bing
80546,2,Sidney Bracey,Sidney Bracey
9096,2,Gino Corrado,Gino Corrado
1518442,1,Vondell Darr,Vondell Darr
120534,1,Sally Eilers,Sally Eilers
9097,2,Gibson Gowland,Gibson Gowland
240803,2,Thomas Jefferson,Thomas Jefferson
137405,2,Bob Kortman,Bob Kortman
9076,2,F. W. Murnau,F. W. Murnau
148852,2,Barry Norton,Barry Norton
8514,2,Robert Parrish,Robert Parrish
1358272,1,Sally Phipps,Sally Phipps
116307,2,Harry Semels,Harry Semels
116187,2,Phillips Smalley,Phillips Smalley
29274,2,Leo White,Leo White
89102,2,Clarence Wilson,Clarence Wilson
587953,1,Norma Talmadge,Norma Talmadge
128324,2,Noah Beery,Noah Beery
29273,2,Gilbert Roland,Gilbert Roland
144021,2,Eddie Borden,Eddie Borden
13854,2,Harry Myers,Harry Myers
1173024,2,Michael Vavitch,Michael Vavitch
1187901,2,Brinsley Shaw,Brinsley Shaw
98010,2,Kalla Pasha,Kalla Pasha
1129895,2,Charles Darvas,Charles Darvas
1404240,0,Michael Dark,Michael Dark
3487,0,Walter Daniels,Walter Daniels
977228,1,Gilda Gray,Gilda Gray
13340,2,Clive Brook,Clive Brook
13341,1,Anna May Wong,Anna May Wong
1173023,0,Serge Temoff,Serge Temoff
1173025,0,Sôjin Kamiyama,Sôjin Kamiyama
1173026,0,Anne Schaefer,Anne Schaefer
100595,2,Albert Conti,Albert Conti
589729,1,Martha Mattox,Martha Mattox
288047,2,James B. Leong,James B. Leong
996887,0,William H. Tooker,William H. Tooker
68653,1,Claire Du Brey,Claire Du Brey
981098,1,Nora Cecil,Nora Cecil
1064446,1,Barbara Tennant,Barbara Tennant
130491,2,William Boyd,William Boyd
13992,1,Mary Astor,Mary Astor
2010,2,Louis Wolheim,Louis Wolheim
84230,2,Ian Keith,Ian Keith
120755,2,Michael Visaroff,Michael Visaroff
2922,2,Boris Karloff,Boris Karloff
138219,2,DeWitt Jennings,DeWitt Jennings
1637714,2,Nicholas Dunaew,Nicholas Dunaew
2216801,1,Jean Vachon,Jean Vachon
134872,2,David Cavendish,David Cavendish
97999,2,John George,John George
33278,2,H.B. Warner,H.B. Warner
8638,1,Anna Q. Nilsson,Anna Q. Nilsson
148425,2,Mickey McBan,Mickey McBan
29817,2,Lionel Belmore,Lionel Belmore
108102,1,Carmel Myers,Carmel Myers
1170727,0,Norman Trevor,Norman Trevor
1508146,0,Betsy Ann Hisle,Betsy Ann Hisle
1152729,2,Paul McAllister,Paul McAllister
1126366,1,Alice Joyce,Alice Joyce
29036,2,Nils Asther,Nils Asther
98007,1,Mary Nolan,Mary Nolan
1022678,2,Harry Langdon,Harry Langdon
1191024,0,Gladys McConnell,Gladys McConnell
136115,2,Cornelius Keefe,Cornelius Keefe
1130370,2,Arthur Thalasso,Arthur Thalasso
115995,2,Brooks Benedict,Brooks Benedict
1357127,2,Henry A. Barrows,Henry A. Barrows
1443697,0,Julia Brown,Julia Brown
1374560,0,Joe Butterworth,Joe Butterworth
1657995,0,John Kolb,John Kolb
144012,1,Frances Raymond,Frances Raymond
1471666,0,Agnes Steele,Agnes Steele
121889,2,Fred Warren,Fred Warren
95735,2,Clifton Young,Clifton Young
2181849,0,George Dunning,George Dunning
545450,1,Catherine Hessling,Catherine Hessling
545451,2,Jean Angelo,Jean Angelo
3000,2,Werner Krauß,Werner Krauß
5038,1,Valeska Gert,Valeska Gert
1343805,1,Jacqueline Forzane,Jacqueline Forzane
30766,2,Dennis Price,Dennis Price
37770,2,Claude Autant-Lara,Claude Autant-Lara
545452,2,Raymond Guérin-Catelain,Raymond Guérin-Catelain
1082579,2,Pierre Lestringuez,Pierre Lestringuez
1551425,0,Pierre Champagne,Pierre Champagne
48044,2,Karl Harbacher,Karl Harbacher
1121589,0,Jacqueline Ford,Jacqueline Ford
1556292,0,Luc Dartagnan,Luc Dartagnan
1678842,0,Nita Romani,Nita Romani
102499,1,Clara Bow,Clara Bow
102500,2,Charles Rogers,Charles Rogers
29760,2,Richard Arlen,Richard Arlen
102501,1,Jobyna Ralston,Jobyna Ralston
102502,2,El Brendel,El Brendel
14290,2,Richard Tucker,Richard Tucker
4068,2,Gary Cooper,Gary Cooper
1568496,0,Gunboat Smith,Gunboat Smith
30157,2,Roscoe Karns,Roscoe Karns
1033217,1,Julia Swayne Gordon,Julia Swayne Gordon
8830,2,Henry B. Walthall,Henry B. Walthall
1095828,1,Arlette Marchal,Arlette Marchal
34047,2,Nigel De Brulier,Nigel De Brulier
8637,1,Hedda Hopper,Hedda Hopper
13823,2,George Irving,George Irving
14643,2,William A. Wellman,William A. Wellman
3458404,0,Natives of the Wild,Natives of the Wild
1627035,0,Wild Beasts,Wild Beasts
3458405,0,The Jungle,The Jungle
1627037,0,Kru,Kru
1627038,0,Chantui,Chantui
3458407,0,Nah,Nah
3458408,0,Ladah,Ladah
3458409,0,Bimbo the Monkey,Bimbo the Monkey
3458410,0,Namul,Namul
3458411,0,Than,Than
14286,2,Al Jolson,Al Jolson
14287,1,May McAvoy,May McAvoy
13342,2,Warner Oland,Warner Oland
14288,1,Eugenie Besserer,Eugenie Besserer
14289,2,Otto Lederer,Otto Lederer
9643,2,Robert Gordon,Robert Gordon
21510,2,William Demarest,William Demarest
13577,1,Myrna Loy,Myrna Loy
90000,2,John Miljan,John Miljan
141305,2,Anders Randolf,Anders Randolf
1765159,0,Walter Rodgers,Walter Rodgers
148440,2,Will Walling,Will Walling
1182925,1,Ena Gregory,Ena Gregory
2596207,0,Yossele Rosenblatt,Yossele Rosenblatt
1030251,2,Nat Carr,Nat Carr
2596208,0,Ernest Belcher,Ernest Belcher
1167509,0,Neely Edwards,Neely Edwards
1329629,1,Audrey Ferris,Audrey Ferris
1275112,0,Leon Holmes,Leon Holmes
3223118,1,Jane Arden,Jane Arden
2430736,2,Ty Parvis,Ty Parvis
1329655,0,Carolynne Snowden,Carolynne Snowden
1487953,0,Violet Bird,Violet Bird
1183894,0,Joseph Green,Joseph Green
2596209,0,Claire Delmar,Claire Delmar
1432565,0,Seymour Kupper,Seymour Kupper
2596210,0,Mary Grace Larsen,Mary Grace Larsen
1323027,0,Margaret Oliver,Margaret Oliver
2596213,0,Marie Stapleton,Marie Stapleton
13555,2,George Bancroft,George Bancroft
86827,1,Evelyn Brent,Evelyn Brent
128198,2,Fred Kohler,Fred Kohler
128199,1,Helen Lynch,Helen Lynch
128200,2,Larry Semon,Larry Semon
96057,2,Jerry Mandy,Jerry Mandy
994615,0,Alfred Allen,Alfred Allen
1468755,0,Shep Houghton,Shep Houghton
1188616,2,Andy MacLennan,Andy MacLennan
1467872,1,Ida May,Ida May
3544548,0,Karl Morse,Karl Morse
120200,2,Bob Reeves,Bob Reeves
161702,2,Julian Rivero,Julian Rivero
29259,2,Lewis Stone,Lewis Stone
83476,2,Ricardo Cortez,Ricardo Cortez
262394,2,George Fawcett,George Fawcett
141753,1,Alice White,Alice White
121257,2,Bill Elliott,Bill Elliott
29977,2,Tom O'Brien,Tom O'Brien
1086580,2,Bert Sprotte,Bert Sprotte
2911,2,Károly Huszár,Károly Huszár
1301248,1,María Corda,María Corda
29999,2,Warner Baxter,Warner Baxter
99749,2,Edmund Lowe,Edmund Lowe
103014,1,Dorothy Burgess,Dorothy Burgess
95725,2,Henry Armetta,Henry Armetta
1170218,0,James Bradbury Jr.,James Bradbury Jr.
1170219,0,Joe Brown,Joe Brown
63383,2,Frank Campeau,Frank Campeau
97776,2,Alphonse Ethier,Alphonse Ethier
1058695,2,John Webb Dillion,John Webb Dillion
14420,2,Jim Farley,Jim Farley
581350,0,Soledad Jiménez,Soledad Jiménez
1015769,2,Ivan Linow,Ivan Linow
932309,2,Tom London,Tom London
1031882,1,Evelyn Selbie,Evelyn Selbie
2895,2,Emil Jannings,Emil Jannings
930621,1,Florence Vidor,Florence Vidor
930622,1,Vera Voronina,Vera Voronina
27733,2,Neil Hamilton,Neil Hamilton
98052,2,Harry Cording,Harry Cording
222834,1,Ossi Oswalda,Ossi Oswalda
29124,2,Wolfgang Zilzer,Wolfgang Zilzer
2403040,0,Anna Stranz-Führing,Anna Stranz-Führing
14130,1,Olga Engl,Olga Engl
27929,2,Percy Marmont,Percy Marmont
932400,2,Milton Sills,Milton Sills
595213,1,Dorothy Mackaill,Dorothy Mackaill
13556,1,Betty Compson,Betty Compson
51762,2,Douglas Fairbanks Jr.,Douglas Fairbanks Jr.
35505,1,Sylvia Ashton,Sylvia Ashton
194173,2,George Cooper,George Cooper
1381975,0,S.S. Simon,S.S. Simon
2240850,0,One-Eye Connelly,One-Eye Connelly
2501,2,Tom Dugan,Tom Dugan
1023906,1,Natalie Kingston,Natalie Kingston
1324566,2,Guido Trento,Guido Trento
302179,2,Alberto Rabagliati,Alberto Rabagliati
1324567,0,cino conti,cino conti
1324568,0,louis liggett,louis liggett
1324569,0,milton dickinson,milton dickinson
1324570,0,helena herman,helena herman
1006369,2,Dave Kashner,Dave Kashner
1324571,0,jennie bruno,jennie bruno
31550,1,Joan Crawford,Joan Crawford
100253,2,Johnny Mack Brown,Johnny Mack Brown
143820,1,Dorothy Sebastian,Dorothy Sebastian
98012,1,Anita Page,Anita Page
1064961,1,Kathlyn Williams,Kathlyn Williams
30006,2,Edward Nugent,Edward Nugent
142595,1,Dorothy Cumming,Dorothy Cumming
100803,2,Huntley Gordon,Huntley Gordon
1284334,0,Evelyn Hall,Evelyn Hall
29952,2,Sam De Grasse,Sam De Grasse
122984,2,Bert Moorhouse,Bert Moorhouse
90074,2,Monte Blue,Monte Blue
30015,1,Raquel Torres,Raquel Torres
1374201,2,Robert Anderson,Robert Anderson
1770048,0,Renee Bush,Renee Bush
1770049,0,Napua,Napua
1150933,1,Dorothy Janis,Dorothy Janis
222574,1,Mary Duncan,Mary Duncan
1064925,2,Charles Morton,Charles Morton
34442,1,Anita Louise,Anita Louise
19327,1,Anne Shirley,Anne Shirley
1188097,0,Nancy Drexel,Nancy Drexel
120701,2,George Davis,George Davis
32428,2,William Powell,William Powell
102327,2,Francis McDonald,Francis McDonald
95771,2,Leslie Fenton,Leslie Fenton
1023463,2,David Rollins,David Rollins
97989,1,Louise Fazenda,Louise Fazenda
100763,2,Billy Bevan,Billy Bevan
120750,0,Mildred Boyd,Mildred Boyd
14425,2,Mike Donlin,Mike Donlin
120443,2,Otto Fries,Otto Fries
99378,2,Dell Henderson,Dell Henderson
140875,1,Isabelle Keith,Isabelle Keith
119547,2,Russ Powell,Russ Powell
141069,0,Harry Schultz,Harry Schultz
1346977,2,Ferdinand Schumann-Heink,Ferdinand Schumann-Heink
19552,2,Rolfe Sedan,Rolfe Sedan
19549,1,Greta Garbo,Greta Garbo
98045,2,John Gilbert,John Gilbert
29536,2,Hobart Bosworth,Hobart Bosworth
141070,1,Gertrude Astor,Gertrude Astor
1016595,2,Agostino Borgato,Agostino Borgato
148429,2,Sydney Jarvis,Sydney Jarvis
103499,2,Fred Kelsey,Fred Kelsey
195086,2,Alphonse Martell,Alphonse Martell
1176510,2,William H. O'Brien,William H. O'Brien
29266,0,Frank Finch Smiles,Frank Finch Smiles
124309,2,George Arliss,George Arliss
21878,1,Doris Lloyd,Doris Lloyd
32139,2,David Torrence,David Torrence
7639,1,Joan Bennett,Joan Bennett
921146,1,Florence Arliss,Florence Arliss
96758,2,Anthony Bushell,Anthony Bushell
132536,2,Ivan F. Simpson,Ivan F. Simpson
725810,1,Gwendolyn Logan,Gwendolyn Logan
930678,2,Charles E. Evans,Charles E. Evans
656876,2,Cosmo Kyrle Bellew,Cosmo Kyrle Bellew
1064924,1,Margaret Mann,Margaret Mann
