,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
The Noose_1927,,,,,,,,,,,,,,
The Last Command_1927,,,,,,,,,,,,,,
A Ship Comes In_1927,,,,,,,,,,,,,,
7th Heaven_1927,False,/qRDUrxnMjLGXBqooHvfT9zzICZ0.jpg,"[18, 10749]",82474,en,7th Heaven,A dejected Parisian sewer worker feels his prayers have been answered when he falls in love with a street waif.,5.476,/3ETXMu5PrcVMRJpfN2Z3MwcfXzy.jpg,1927-09-10,7th Heaven,False,7.4,77
Sadie Thompson_1927,,,,,,,,,,,,,,
Sunrise_1927,False,/hKrrCigPFmhv1bg5IJl9nzjEaN4.jpg,"[18, 10749]",631,en,Sunrise: A Song of Two Humans,"A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife.",11.696,/oj8ZW8jKXBSs8F1e5iWsTUeXSJW.jpg,1927-11-04,Sunrise: A Song of Two Humans,False,7.9,651
The Dove;_1927,False,,[10749],79760,en,The Dove,"Norma Talmadge plays a Mexican saloon singer, known as 'The Dove.' She is romanced by a young caballero and menaced by a Villa-like brute of a dictator, played by Noah Beery.",0.6,/ttnc8Rd4hdHj8soNqKmyDXnIJtd.jpg,1927-12-31,The Dove,False,7,2
The Devil Dancer;_1927,False,/pA00hZqh3GdcuK1j8rtWNNnCeIb.jpg,"[18, 10749]",171341,en,The Devil Dancer,"An English explorer disturbed by the practices of an isolated tribe attempts to rescue a native girl he has become fascinated with.  THE DEVIL DANCER was highly praised at time of release for its exquisite cinematography, especially in the use of light and shadow. The film received an Academy Award nomination in this category. Sadly, it is among the lost. No prints or negatives are known to survive.",1.42,/8YGzpOD122Erwr8kW1zlvatrPd3.jpg,1927-11-03,The Devil Dancer,False,0,0
Two Arabian Knights_1927,False,/9RSA0tT2B1yx7aS1SQsKdy3GiXe.jpg,"[12, 35, 10749]",102384,en,Two Arabian Knights,"During World War I, two American soldiers fight to escape the Germans while squabbling over a beautiful harem girl.",2.146,/6SXSpSl2hVVW3rVWh3A1aUB2tYk.jpg,1927-09-23,Two Arabian Knights,False,6.1,12
Speedy_1927,,,,,,,,,,,,,,
Sorrell and Son_1927,False,/oYvAUYpfnHvJq87uBaPRWa5lboa.jpg,[18],183587,en,Sorrell and Son,"Stephen Sorrell, a decorated war hero, raises his son Kit alone after Kit's mother deserts husband and child in the boy's infancy. Sorrell loses a promising job offer and is forced to take work as a menial. Both his dignity and his health are damaged as he suffers under the exhausting labor and harsh treatment he receives as a hotel porter. But Sorrell thrives in the knowledge that his son will benefit from his labors. Sorrell has allowed the boy to believe his mother dead, but when the mother shows up, wanting to re-enter the young man's life, Sorrell must make hard decisions.",0.6,/7IXlYJn21czo0OnXsy11eBY6KAK.jpg,1927-12-02,Sorrell and Son,False,5,1
The Crowd_1927,False,/3crSs191ZQzuO7rKxT9lm07QiKO.jpg,[35],301879,en,Three's a Crowd,"Harry, The Odd Fellow, is a tenement worker who lives alone in a shack alongside a warehouse and longs for the companionship of a wife and children like other men. One day he spies a pretty girl in his telescope and sends her by carrier pigeon a note that, alas, is received by the wrong party. The Girl marries and, poverty-striken, leaves her husband during a snowstorm. Harry takes her in, and minutes later her child is born. He works like a slave for the mother and child, pretending they are his own. Meanwhile, the husband finds her and comes to the shack on Christmas Eve as Harry is preparing to play Santa Claus. Not realizing the unhappiness she is causing him, The Girl thanks him profusely and leaves with her husband. Overcome, Harry sits overnight on the doorstep and the next morning is found frozen stiff except for his eyes--with amusing results.",0.764,/rOnyGI1Bb2nvzchZbg9rA9q9prV.jpg,1927-08-28,Three's a Crowd,False,5.3,6
nan_1927,False,/4ag4cp7TtZocaIUY7fTkhYYRV2R.jpg,"[10749, 18]",66812,fr,Nana,"A government official, Count Muffat, falls under the spell of Nana, a young actress. She becomes his mistress, living in the sumptuous apartment which he provides for her. Instead of elevating herself to Muffat's level, however, Nana drags the poor man down to hers - in the end, both lives have been utterly destroyed.",2.08,/fFIYL6vMr8wdYRPjuLjTivsAbFw.jpg,1926-06-25,Nana,False,6.7,22
Wings_1927,False,/soJGAjMOnvHaWZvAZm7r5OMTpM4.jpg,"[18, 28, 10752, 10749]",28966,en,Wings,"Two young men, one rich, one middle class, both in love with the same woman, become US Air Corps fighter pilots and, eventually, heroic flying aces during World War I. Devoted best friends, their mutual love of the girl eventually threatens their bond. Meanwhile, a hometown girl who's the lovestruck lifelong next door neighbor of one of them, pines away.",8.042,/kEl6KCBgdmT1Nex3ka0EIWAOmtm.jpg,1927-08-12,Wings,False,7.2,211
The Racket_1927,,,,,,,,,,,,,,
Chang_1927,False,/1k0js40cfTjyy6US87oGFjEwzA9.jpg,"[99, 12, 18]",44657,en,Chang: A Drama of the Wilderness,"Elephants disrupt the lives of a family deep in the jungles of Northern Siam, and an entire village.",0.827,/lNDWMfCCWaTe5IOgycpmw6aAggi.jpg,1927-04-29,Chang: A Drama of the Wilderness,False,6.6,15
The Jazz Singer_1927,False,/oBNJAxtRdqa7xfhRc6LRk7AMnaa.jpg,"[18, 10402]",939,en,The Jazz Singer,"A young Jewish man is torn between tradition and individuality when his old-fashioned family objects to his career as a jazz singer. This is the first full length feature film to use synchronized sound, and is the original film musical.",8.802,/ruQGTDWt6aVzLPfr0uPm3KjQK3b.jpg,1927-10-06,The Jazz Singer,False,6.3,160
Glorious Betsy_1927,,,,,,,,,,,,,,
Underworld_1927,False,/qNiDPTRBh5L9JaIvmCyoBa6DBxg.jpg,"[18, 80, 10749]",42565,en,Underworld,"Boisterous gangster kingpin Bull Weed rehabilitates his former lawyer from his alcoholic haze, but complications arise when he falls for Weed's girlfriend.",4.01,/dWDklNp6BZLRNZa6nsSjt7Nfynp.jpg,1927-08-20,Underworld,False,7.1,60
The Private Life of Helen of Troy_1927,False,,[35],218413,en,The Private Life of Helen of Troy,"Setting the standard for his later light-hearted biopics The Private Life of Henry VIII and Rembrandt, producer-director Alexander Korda steadfastly refuses to take any of The Private Life of Helen of Troy seriously. Maria Corda, wife of the director, plays the title character as a fetchingly underdressed coquette, oblivious to all the political turmoil she's causing when she allows the handsome Paris (Ricardo Cortez) to kidnap her. Meanwhile, poor King Menelaus (Lewis Stone), Helen's husband, stands by in stoic silence, just as he's done on previous occasions when his wife succumbed to the charms of various sexy suitors (one of whom is played by future cowboy star ""Wild Bill"" Elliot). Finally galvanized into action, Menelaus reclaims his bride, who seems none the worse for wear for her experiences.",1.4,/mZft19Osx7lF4qgsRP4snsC8ofm.jpg,1927-12-09,The Private Life of Helen of Troy,False,0,0
Thunderbolt_1928,,,,,,,,,,,,,,
In Old Arizona_1928,False,/VRjzMGnGuAXycd1alavkwgAqQJ.jpg,"[28, 37]",83989,en,In Old Arizona,"Army Sergeant Mickey Dunn sets out in pursuit of the Cisco Kid, a notorious if kind-hearted and charismatic bandit of the Old West. The Kid spends much of his loot on Tonia, the woman he loves, not realizing that she is being unfaithful to him in his absence. Soon, with her oblivious paramour off plying his trade, Tonia falls in with Dunn, drawn by the allure of a substantial reward for the Kid's capture -- dead or alive. Together, they concoct a plan to ambush and do away with the Cisco Kid once and for all.",4.079,/x1XSQeLUdoi72P5UOXqAyL46B9a.jpg,1928-12-25,In Old Arizona,False,5.2,19
Alibi_1928,,,,,,,,,,,,,,
The Valiant_1928,,,,,,,,,,,,,,
The Patriot_1928,False,/qOtMWhrZpqXsRtu2VLDtCDpF8XC.jpg,[18],83990,en,The Patriot,"In 18th-Century Russia, the Czar, Paul, is surrounded by murderous plots and trusts only Count Pahlen. Pahlen wishes to protect his friend, the mad king, but because of the horror of the king's acts, he feels that he must remove him from the throne.",1.361,/9L5mhObh42jRHBBtHZ2J7eC4RTt.jpg,1928-09-01,The Patriot,False,5,3
